카테고리,기능ID,기능명,상세설명,우선순위,담당모듈,관련테이블,비고
사용자관리,USER-001,회원가입,신규 사용자 등록 및 계정 생성,High,/user,user_info,Passport.js 인증
사용자관리,USER-002,로그인/로그아웃,세션 기반 사용자 인증,High,/login,user_info,passport-local 전략
사용자관리,USER-003,사용자 정보 조회,마이페이지에서 개인정보 확인,Medium,/myInfo,user_info,
사용자관리,USER-004,사용자 정보 수정,프로필 및 개인정보 변경,Medium,/myInfo,user_info,
사용자관리,USER-005,사용자 권한 관리,관리자 레벨(ulevel) 기반 권한 제어,High,/user,user_admin,레벨별 접근 제어
사용자관리,USER-006,사용자 목록 조회,관리자용 전체 사용자 조회,Medium,/user,user_info,관리자 전용
사용자관리,USER-007,사용자 검색,이름/ID 기반 사용자 검색,Low,/user,u_search,
학습콘텐츠,LESSON-001,레슨 목록 조회,전체 레슨 리스트 표시,High,/lesson,lesson,페이징 처리
학습콘텐츠,LESSON-002,레슨 상세 조회,개별 레슨의 상세 정보 표시,High,/lesson,lesson,
학습콘텐츠,LESSON-003,레슨 생성,새로운 학습 콘텐츠 등록,High,/lesson,lesson,관리자 전용
학습콘텐츠,LESSON-004,레슨 수정,기존 레슨 내용 변경,High,/lesson,lesson,관리자 전용
학습콘텐츠,LESSON-005,레슨 삭제,레슨 제거,Medium,/lesson,lesson,관리자 전용
학습콘텐츠,LESSON-006,유닛 관리,레슨 내 학습 유닛 CRUD,High,/lesson,l_unit,
학습콘텐츠,LESSON-007,카드 관리,학습 카드 콘텐츠 관리,High,/lesson,l_card,플래시카드 형식
학습콘텐츠,LESSON-008,스크립트 관리,대본 및 자막 관리,High,/lesson,l_script,
학습콘텐츠,LESSON-009,어휘 관리,단어 및 표현 관리,High,/lesson,l_voca,
학습콘텐츠,LESSON-010,카테고리 관리,레슨 분류 체계 관리,Medium,/lesson,l_category,
학습콘텐츠,LESSON-011,테마 관리,학습 주제별 그룹핑,Medium,/lesson,"l_theme, l_thema",
학습콘텐츠,LESSON-012,태그 관리,레슨 태그 설정 및 관리,Medium,/lesson,l_tag,
학습콘텐츠,LESSON-013,시리즈 관리,연속된 레슨 시리즈 구성,Medium,/lesson,l_series,
학습콘텐츠,LESSON-014,크리에이터 관리,콘텐츠 제작자 정보 관리,Low,/lesson,l_creator,
리스닝,LISTEN-001,리스닝 콘텐츠 조회,오디오/비디오 기반 학습 자료 조회,High,/lesson,l_listening,
리스닝,LISTEN-002,리스닝 재생,미디어 플레이어 기능,High,/lesson,l_listening,
리스닝,LISTEN-003,리스닝 스크립트 표시,재생 중 대본 동기화 표시,High,/lesson,l_script,
리스닝,LISTEN-004,심플 리스닝,간단한 리스닝 콘텐츠,Medium,/lesson,l_simple,
리스닝,LISTEN-005,심플 스크립트,간단한 스크립트 표시,Medium,/lesson,l_simple_script,
학습진행,PROGRESS-001,학습 기록 저장,사용자의 학습 이력 저장,High,/api,history,
학습진행,PROGRESS-002,유닛 학습 기록,유닛별 진행도 추적,High,/api,h_unit,
학습진행,PROGRESS-003,학습 진행률 조회,사용자별 진행 상황 확인,High,/api,user_lesson,
학습진행,PROGRESS-004,북마크 추가,학습 콘텐츠 북마크,Medium,/api,h_bookmark,
학습진행,PROGRESS-005,북마크 조회,저장된 북마크 목록,Medium,/api,h_bookmark,
학습진행,PROGRESS-006,테마 북마크,테마별 북마크 관리,Medium,/api,h_bookmark_thema,
학습진행,PROGRESS-007,좋아요,콘텐츠 좋아요 기능,Low,/api,u_like,
학습진행,PROGRESS-008,학습 지연 관리,학습 일정 지연 추적,Medium,/api,delay_study,
학습진행,PROGRESS-009,오늘의 학습,일일 학습 콘텐츠 추천,Medium,/api,today,
학습진행,PROGRESS-010,오늘의 테마태그,일일 테마 추천,Low,/api,today_thematag,
STT기능,STT-001,음성 인식,사용자 발화 텍스트 변환,High,/api,u_speak,Speech-to-Text
STT기능,STT-002,STT 기록 저장,음성 인식 결과 저장,High,/api,stt_history,
STT기능,STT-003,발음 평가,발음 정확도 분석,Medium,/api,stt_history,
퀴즈,QUIZ-001,퀴즈 목록 조회,전체 퀴즈 리스트,High,/quiz,l_choice,
퀴즈,QUIZ-002,퀴즈 상세 조회,개별 퀴즈 문제 표시,High,/quiz,l_choice,
퀴즈,QUIZ-003,퀴즈 생성,새로운 퀴즈 등록,High,/quiz,l_choice,관리자 전용
퀴즈,QUIZ-004,퀴즈 수정,퀴즈 내용 변경,Medium,/quiz,l_choice,관리자 전용
퀴즈,QUIZ-005,퀴즈 삭제,퀴즈 제거,Medium,/quiz,l_choice,관리자 전용
퀴즈,QUIZ-006,퀴즈 응답 제출,사용자 답안 제출,High,/quiz,history,
퀴즈,QUIZ-007,퀴즈 결과 조회,정답 확인 및 점수 표시,High,/quiz,history,
챌린지,CHALLENGE-001,챌린지 목록 조회,진행 중인 챌린지 리스트,High,/api,challengr,
챌린지,CHALLENGE-002,챌린지 상세 조회,챌린지 상세 정보,High,/api,challengr,
챌린지,CHALLENGE-003,챌린지 생성,새로운 챌린지 개설,Medium,/api,challengr,관리자 전용
챌린지,CHALLENGE-004,챌린지 참여,사용자 챌린지 참가,High,/api,c_history,
챌린지,CHALLENGE-005,챌린지 진행 기록,참여자 진행 상황 저장,High,/api,c_history,
챌린지,CHALLENGE-006,챌린지 상세 기록,세부 활동 기록,Medium,/api,c_detail,
챌린지,CHALLENGE-007,챌린지 평가,참여자 평가 및 피드백,Medium,/api,b_evaluate,
게시판,BOARD-001,게시글 목록 조회,전체 게시글 리스트,High,/board,board,페이징 처리
게시판,BOARD-002,게시글 상세 조회,개별 게시글 내용,High,/board,board,
게시판,BOARD-003,게시글 작성,새 게시글 등록,High,/board,board,
게시판,BOARD-004,게시글 수정,작성한 게시글 수정,Medium,/board,board,본인만 가능
게시판,BOARD-005,게시글 삭제,게시글 제거,Medium,/board,board,본인/관리자
게시판,BOARD-006,게시글 검색,제목/내용 검색,Medium,/board,board,
게시판,BOARD-007,댓글 작성,게시글 댓글 등록,Medium,/board,board,
게시판,BOARD-008,댓글 삭제,댓글 제거,Low,/board,board,
쇼핑몰,SHOP-001,상품 목록 조회,판매 중인 상품 리스트,High,/shop,product,
쇼핑몰,SHOP-002,상품 상세 조회,상품 상세 정보,High,/shop,product,
쇼핑몰,SHOP-003,상품 등록,새 상품 추가,High,/shop,product,관리자 전용
쇼핑몰,SHOP-004,상품 수정,상품 정보 변경,Medium,/shop,product,관리자 전용
쇼핑몰,SHOP-005,상품 삭제,상품 제거,Medium,/shop,product,관리자 전용
쇼핑몰,SHOP-006,장바구니 추가,상품 장바구니 담기,High,/shop,orders,
쇼핑몰,SHOP-007,장바구니 조회,담긴 상품 확인,High,/shop,orders,
쇼핑몰,SHOP-008,주문 생성,상품 구매 주문,High,/shop,orders,
쇼핑몰,SHOP-009,주문 목록 조회,사용자 주문 내역,High,/shop,orders,
쇼핑몰,SHOP-010,주문 상세 조회,개별 주문 상세 정보,High,/shop,orders,
쇼핑몰,SHOP-011,주문 상태 변경,주문 처리 상태 업데이트,Medium,/shop,orders,관리자 전용
쇼핑몰,SHOP-012,주문 상품 관리,주문 내 상품 정보,Medium,/shop,o_product,
쇼핑몰,SHOP-013,쿠폰 발급,할인 쿠폰 생성,Medium,/shop,coupon,관리자 전용
쇼핑몰,SHOP-014,쿠폰 사용,주문 시 쿠폰 적용,Medium,/shop,coupon,
쇼핑몰,SHOP-015,쿠폰 목록 조회,사용 가능한 쿠폰 확인,Medium,/shop,coupon,
구독,SUBSCRIBE-001,구독 상품 조회,구독권 리스트,High,/shop,subscribe,
구독,SUBSCRIBE-002,구독 신청,구독권 구매,High,/shop,subscribe,
구독,SUBSCRIBE-003,구독 상태 조회,현재 구독 정보 확인,High,/shop,subscribe,
구독,SUBSCRIBE-004,구독 갱신,구독 기간 연장,Medium,/shop,subscribe,
구독,SUBSCRIBE-005,구독 취소,구독 해지,Medium,/shop,subscribe,
배너,BANNER-001,배너 목록 조회,활성화된 배너 리스트,High,/api,banner,
배너,BANNER-002,배너 등록,새 배너 추가,Medium,/manage,banner,관리자 전용
배너,BANNER-003,배너 수정,배너 내용 변경,Medium,/manage,banner,관리자 전용
배너,BANNER-004,배너 삭제,배너 제거,Low,/manage,banner,관리자 전용
배너,BANNER-005,배너 순서 변경,배너 표시 순서 조정,Low,/manage,banner,관리자 전용
통계/로그,LOG-001,사용자 활동 로그,사용자 행동 기록,High,/api,log_user,
통계/로그,LOG-002,비디오 시청 로그,영상 재생 기록,High,/api,log_video,
통계/로그,LOG-003,태그 통계,태그별 사용 통계,Medium,/api,tag_stat,
통계/로그,LOG-004,테마 태그 통계,테마별 태그 통계,Medium,/api,tag_stat_theme,
통계/로그,LOG-005,학습 통계 조회,사용자별 학습 분석,Medium,/api,"history, user_lesson",
통계/로그,LOG-006,인기 콘텐츠 조회,조회수 기반 인기 레슨,Low,/api,lesson,
마이플랜,PLAN-001,학습 계획 생성,개인 학습 스케줄 작성,High,/api,myc_plan,
마이플랜,PLAN-002,학습 계획 조회,등록된 학습 계획 확인,High,/api,myc_plan,
마이플랜,PLAN-003,학습 계획 수정,계획 내용 변경,Medium,/api,myc_plan,
마이플랜,PLAN-004,일일 계획 관리,날짜별 학습 계획,High,/api,myc_plan_day,
마이플랜,PLAN-005,학습 스케줄 관리,시간표 기반 학습 관리,Medium,/api,myc_user_schedule,
마이플랜,PLAN-006,학습 로그 기록,계획 실행 기록,High,/api,myc_user_log,
파일관리,FILE-001,파일 업로드,이미지/오디오/비디오 업로드,High,/api,N/A,Multer 사용
파일관리,FILE-002,파일 조회,업로드된 파일 접근,High,/public,N/A,정적 파일 서빙
파일관리,FILE-003,파일 삭제,불필요한 파일 제거,Medium,/api,N/A,관리자 전용
설정,SETTING-001,시스템 설정 조회,전역 설정 값 확인,Medium,/manage,setting,관리자 전용
설정,SETTING-002,시스템 설정 변경,설정 값 수정,Medium,/manage,setting,관리자 전용
푸시알림,PUSH-001,푸시 알림 발송,사용자에게 알림 전송,Medium,/api,push,
푸시알림,PUSH-002,푸시 알림 내역,발송된 알림 기록,Low,/api,push,
푸시알림,PUSH-003,푸시 구독 관리,알림 수신 설정,Low,/api,push,
API,API-001,RESTful API 엔드포인트,프론트엔드 연동 API,High,/api,N/A,137KB 대용량 파일
API,API-002,CORS 처리,크로스 도메인 요청 허용,High,/api,N/A,cors 미들웨어
API,API-003,에러 응답 처리,표준화된 에러 메시지,Medium,/api,N/A,
API,API-004,페이징 처리,리스트 데이터 페이징,Medium,/api,N/A,
공통,COMMON-001,세션 관리,사용자 세션 유지,High,app.js,N/A,express-session
공통,COMMON-002,인증 미들웨어,권한 기반 접근 제어,High,app.js,N/A,Passport.js
공통,COMMON-003,에러 핸들링,전역 에러 처리,High,app.js,N/A,
공통,COMMON-004,로깅,HTTP 요청 로깅,Medium,app.js,N/A,Morgan
공통,COMMON-005,헬퍼 함수,Handlebars 헬퍼,Medium,/helper,N/A,
공통,COMMON-006,유틸리티 함수,공통 유틸리티,Low,/util,N/A,
