번호,대분류,중분류,기능명,기능 상세 설명,우선순위,상태,담당자,비고
1,인증/권한,OAuth 인증,Cafe24 OAuth 연동,Cafe24 OAuth 2.0을 통한 쇼핑몰 인증 및 토큰 발급,높음,완료,,
2,인증/권한,OAuth 인증,Access Token 발급,Authorization Code를 통한 Access Token 발급 기능,높음,완료,,
3,인증/권한,OAuth 인증,Refresh Token 갱신,만료된 Access Token을 Refresh Token으로 자동 갱신,높음,완료,,
4,인증/권한,JWT 인증,JWT 토큰 검증,API 요청 시 JWT 토큰 검증 및 사용자 인증,높음,완료,,
5,인증/권한,JWT 인증,토큰 만료 확인,토큰 만료 시간 확인 및 자동 갱신 처리,높음,완료,,
6,인증/권한,권한 관리,화이트리스트 관리,인증 불필요 경로 관리 (/hook /callback /manual /api /dev),중간,완료,,
7,인증/권한,권한 관리,HMAC 검증,프로덕션 환경에서 HMAC 기반 요청 검증,중간,완료,,프로덕션 환경
8,게시판 관리,게시판 조회,게시판 목록 조회,쇼핑몰의 모든 게시판 목록 조회 (운영/일반/자료실/상품/갤러리 등),높음,완료,,
9,게시판 관리,게시판 조회,게시판 정보 조회,게시판 번호/이름/타입/사용여부/표시여부/정렬순서 조회,높음,완료,,
10,게시판 관리,게시물 관리,게시물 목록 조회,특정 게시판의 게시물 목록 조회,높음,완료,,
11,게시판 관리,게시물 관리,게시물 상세 조회,게시물 상세 정보 및 첨부파일 조회,높음,완료,,
12,게시판 관리,게시물 관리,게시물 수정,게시물 내용 수정 및 상품 그룹 연결,높음,완료,,
13,게시판 관리,게시물 관리,첨부파일 관리,게시물 첨부파일 URL 및 정보 관리,중간,완료,,
14,게시판 관리,상품 연결,게시물-상품 그룹 연결,게시물에 상품 그룹 연결 및 노출 설정,높음,완료,,
15,게시판 관리,상품 연결,연결 기간 설정,상품 그룹 노출 시작일/종료일 설정,중간,완료,,
16,상품 관리,상품 그룹,상품 그룹 생성,새로운 상품 그룹 생성 및 설정,높음,완료,,
17,상품 관리,상품 그룹,상품 그룹 수정,기존 상품 그룹 정보 수정,높음,완료,,
18,상품 관리,상품 그룹,상품 그룹 삭제,상품 그룹 삭제 처리,높음,완료,,
19,상품 관리,상품 그룹,상품 그룹 조회,상품 그룹 목록 및 상세 정보 조회,높음,완료,,
20,상품 관리,상품 정보,상품 목록 조회,Cafe24 API를 통한 상품 목록 조회,높음,완료,,
21,상품 관리,상품 정보,상품 상세 조회,특정 상품의 상세 정보 조회,높음,완료,,
22,상품 관리,노출 설정,노출 효과 설정,상품 그룹 노출 효과 설정 (슬라이더/그리드),중간,완료,,
23,상품 관리,노출 설정,타이틀 설정,노출 타이틀/정렬/폰트 크기/색상 설정,중간,완료,,
24,상품 관리,노출 설정,가격 표시 패턴,판매가/소비자가 또는 할인판매가/소비자가 선택,중간,완료,,
25,상품 관리,노출 설정,할인율 자동 계산,할인율 자동 계산 여부 설정,낮음,완료,,
26,상품 관리,노출 설정,상품 정보 정렬,상품 정보 정렬 방식 설정 (중앙/좌측),낮음,완료,,
27,상품 관리,통계,클릭 수 집계,상품 그룹 클릭 수 집계 및 조회,중간,완료,,
28,카테고리 관리,카테고리 조회,카테고리 목록 조회,Cafe24 쇼핑몰의 카테고리 목록 조회,높음,완료,,
29,카테고리 관리,카테고리 조회,카테고리 트리 구조,카테고리 계층 구조 조회 및 관리,중간,완료,,
30,카테고리 관리,카테고리 동기화,Cafe24 동기화,Cafe24 카테고리 정보 동기화,중간,완료,,
31,폴더 관리,폴더 CRUD,폴더 생성,새로운 폴더 생성,중간,완료,,
32,폴더 관리,폴더 CRUD,폴더 수정,폴더 정보 수정,중간,완료,,
33,폴더 관리,폴더 CRUD,폴더 삭제,폴더 삭제 처리,중간,완료,,
34,폴더 관리,폴더 CRUD,폴더 조회,폴더 목록 및 상세 정보 조회,중간,완료,,
35,폴더 관리,폴더 구조,폴더 계층 관리,폴더 계층 구조 관리,낮음,완료,,
36,결제 관리,결제 정보,결제 정보 조회,사용자 결제 정보 조회,높음,완료,,
37,결제 관리,결제 정보,결제 상태 관리,결제 상태 업데이트 및 관리,높음,완료,,
38,결제 관리,구독 관리,구독 상태 확인,사용자 구독 상태 확인,높음,완료,,
39,결제 관리,구독 관리,구독 만료 처리,만료된 구독 자동 처리,중간,완료,,
40,쇼핑몰 관리,쇼핑몰 정보,쇼핑몰 정보 조회,쇼핑몰 기본 정보 조회,높음,완료,,
41,쇼핑몰 관리,쇼핑몰 정보,쇼핑몰 정보 수정,쇼핑몰 설정 정보 수정,중간,완료,,
42,쇼핑몰 관리,토큰 관리,토큰 정보 저장,OAuth 토큰 정보 DB 저장,높음,완료,,
43,쇼핑몰 관리,토큰 관리,토큰 만료일 관리,Access Token 및 Refresh Token 만료일 관리,높음,완료,,
44,쇼핑몰 관리,앱 관리,앱 만료일 관리,앱 사용 만료일 관리 (30일),중간,완료,,
45,Cafe24 API,API 통신,GET 요청,Cafe24 API GET 요청 처리,높음,완료,,
46,Cafe24 API,API 통신,POST 요청,Cafe24 API POST 요청 처리,높음,완료,,
47,Cafe24 API,API 통신,PUT 요청,Cafe24 API PUT 요청 처리,높음,완료,,
48,Cafe24 API,API 통신,DELETE 요청,Cafe24 API DELETE 요청 처리,높음,완료,,
49,Cafe24 API,API 제한,호출 제한 모니터링,API 호출 제한 헤더 모니터링 (x-api-call-limit),중간,완료,,
50,Cafe24 API,API 제한,자동 지연 처리,10회 이상 호출 시 1초 자동 지연,중간,완료,,
51,Cafe24 API,권한 관리,Scope 관리,Cafe24 API 권한 범위 관리,높음,완료,,mall.read_category 등
52,Cafe24 API,버전 관리,API 버전 설정,Cafe24 API 버전 헤더 설정 (2023-03-01),중간,완료,,
53,스케줄 작업,토큰 갱신,자동 토큰 갱신,매일 자정 모든 쇼핑몰 토큰 갱신,높음,완료,,매일 00:00
54,스케줄 작업,토큰 갱신,만료 예정 토큰 처리,만료 예정 토큰 자동 업데이트,높음,완료,,
55,스케줄 작업,결제 처리,결제 정보 조회,매일 새벽 1시 결제 정보 조회,중간,완료,,매일 01:00
56,스케줄 작업,결제 처리,결제 상태 업데이트,매일 새벽 2시 결제 상태 업데이트,중간,완료,,매일 02:00
57,스케줄 작업,스케줄러 관리,Bree 스케줄러,Bree를 통한 작업 스케줄링,중간,완료,,
58,스케줄 작업,스케줄러 관리,에러 핸들링,스케줄 작업 에러 처리 및 로깅,중간,완료,,
59,에러 처리,에러 핸들링,커스텀 에러,CustomError 클래스를 통한 에러 처리,높음,완료,,
60,에러 처리,에러 핸들링,에러 코드 관리,에러 코드 상수 관리 (AUTH/CAFE24/SERVER),높음,완료,,
61,에러 처리,에러 핸들링,에러 응답 포맷,통일된 에러 응답 형식 반환,높음,완료,,
62,에러 처리,에러 핸들링,404 처리,존재하지 않는 경로 404 에러 처리,중간,완료,,
63,에러 처리,에러 핸들링,500 처리,서버 내부 에러 500 처리,높음,완료,,
64,로깅,HTTP 로깅,요청 로깅,Morgan을 통한 HTTP 요청 로깅,중간,완료,,
65,로깅,HTTP 로깅,응답 로깅,HTTP 응답 상태 로깅,중간,완료,,
66,로깅,작업 로깅,스케줄 작업 로깅,Cabin을 통한 스케줄 작업 로깅,중간,완료,,
67,로깅,에러 로깅,에러 로그,에러 발생 시 상세 로그 기록,높음,완료,,
68,보안,CORS,CORS 설정,CORS 정책 설정 및 관리,높음,완료,,현재 모든 오리진 허용
69,보안,CORS,허용 메소드,HTTP 메소드 허용 설정,중간,완료,,GET/POST/PUT/PATCH/DELETE/OPTIONS
70,보안,CORS,Credentials 지원,인증 정보 포함 요청 지원,중간,완료,,
71,보안,데이터 제한,Request Body 제한,요청 본문 크기 제한 (100MB),중간,완료,,
72,보안,데이터 제한,URL 인코딩 제한,URL 인코딩 데이터 크기 제한,중간,완료,,
73,API 문서,문서 생성,ApiDoc 자동 생성,ApiDoc을 통한 API 문서 자동 생성,중간,완료,,
74,API 문서,문서 관리,주석 기반 문서화,라우터 주석 기반 문서 자동화,중간,완료,,
75,API 문서,문서 제공,정적 문서 제공,생성된 API 문서 웹 제공 (/public/apidoc),낮음,완료,,
76,배포,PM2 관리,프로세스 관리,PM2를 통한 프로세스 관리,높음,완료,,
77,배포,PM2 관리,무중단 배포,PM2 무중단 재시작,높음,완료,,
78,배포,PM2 관리,자동 재시작,프로세스 크래시 시 자동 재시작,높음,완료,,현재 비활성화
79,배포,환경 관리,멀티 환경 설정,localhost/dev/qa/prod 환경 분리,높음,완료,,
80,배포,환경 관리,환경 변수 관리,환경별 변수 설정 및 관리,높음,완료,,
81,배포,CI/CD,GitLab CI/CD,GitLab 파이프라인 자동 배포,중간,완료,,main 브랜치 트리거
82,배포,CI/CD,자동 배포,main 브랜치 푸시 시 자동 배포,중간,완료,,
83,배포,CI/CD,캐싱,node_modules 캐싱으로 빌드 속도 향상,낮음,완료,,
84,데이터베이스,연결 관리,Sequelize ORM,Sequelize를 통한 DB 연결 및 관리,높음,완료,,
85,데이터베이스,연결 관리,연결 풀 관리,데이터베이스 연결 풀 관리,중간,완료,,
86,데이터베이스,모델 관리,모델 자동 로드,models 디렉토리 모델 자동 로드,중간,완료,,
87,데이터베이스,모델 관리,모델 관계 설정,모델 간 관계(associate) 자동 설정,중간,완료,,
88,라우팅,동적 라우팅,자동 라우트 등록,glob 패턴을 통한 라우트 자동 등록,중간,완료,,
89,라우팅,동적 라우팅,폴더 기반 라우팅,routes 폴더 구조 기반 자동 라우팅,중간,완료,,
90,라우팅,미들웨어,인증 미들웨어,전역 인증 미들웨어 적용,높음,완료,,
91,라우팅,미들웨어,쿠키 파서,쿠키 파싱 미들웨어,낮음,완료,,
92,라우팅,미들웨어,정적 파일 제공,public 디렉토리 정적 파일 제공,중간,완료,,
93,유틸리티,공통 함수,CustomResponse,통일된 성공 응답 포맷 함수,중간,완료,,
94,유틸리티,공통 함수,상수 관리,에러 코드 및 메시지 상수 관리,중간,완료,,
95,유틸리티,공통 함수,유틸리티 함수,공통 유틸리티 함수 모음,낮음,완료,,
96,뷰,템플릿 엔진,Handlebars,Handlebars 템플릿 엔진 설정,낮음,완료,,
97,뷰,템플릿 엔진,뷰 렌더링,동적 HTML 페이지 렌더링,낮음,완료,,
98,웹훅,Cafe24 웹훅,웹훅 수신,Cafe24 웹훅 이벤트 수신,중간,완료,,
99,웹훅,Cafe24 웹훅,웹훅 처리,수신된 웹훅 데이터 처리,중간,완료,,
100,콜백,OAuth 콜백,인증 콜백,OAuth 인증 완료 후 콜백 처리,높음,완료,,
