번호,대분류,중분류,기능명,기능설명,우선순위,상태,API엔드포인트,관련모델,비고
1,리뷰관리,리뷰조회,전체 리뷰 조회,모든 리뷰 목록을 페이지네이션하여 조회,높음,구현완료,GET /api/reviews,"Review, Product, Order",필터링 및 정렬 기능 포함
2,리뷰관리,리뷰조회,베스트 리뷰 조회,베스트로 선정된 리뷰만 조회,높음,구현완료,GET /api/reviews/best,"Review, Product",is_best = true 조건
3,리뷰관리,리뷰조회,포토 리뷰 조회,사진이 포함된 리뷰만 조회,높음,구현완료,GET /api/reviews/photo,"Review, File",files_id 길이 체크
4,리뷰관리,리뷰조회,리뷰 상세 조회,특정 리뷰의 상세 정보 조회,높음,구현완료,GET /api/review/detail/:id,"Review, ReviewReply",답글 포함
5,리뷰관리,리뷰조회,상품별 리뷰 조회,특정 상품의 모든 리뷰 조회,높음,구현완료,GET /api/product/reviews/:id,"Review, Product",연결된 상품 포함
6,리뷰관리,리뷰조회,상품별 베스트 리뷰,특정 상품의 베스트 리뷰만 조회,중간,구현완료,GET /api/product/review/best/:id,"Review, Product, File",
7,리뷰관리,리뷰조회,상품별 포토 리뷰,특정 상품의 포토 리뷰만 조회,중간,구현완료,GET /api/product/review/photo/:id,"Review, Product, File",
8,리뷰관리,리뷰조회,작성한 리뷰 조회,사용자가 작성한 리뷰 목록,중간,구현완료,GET /api/review/wrote,"Review, Order",회원별 조회
9,리뷰관리,리뷰조회,작성 가능 리뷰 조회,리뷰 작성이 가능한 주문 목록,중간,구현완료,GET /api/review/able,Order,배송완료 주문 중 미작성 리뷰
10,리뷰관리,리뷰통계,리뷰 수 조회,상품별 리뷰 개수 조회,중간,구현완료,GET /api/product/count/reviews/:id,Review,
11,리뷰관리,리뷰통계,전체 리뷰 수 조회,모든 상품의 리뷰 수 조회,중간,구현완료,GET /api/product/count/all/reviews,Review,
12,리뷰관리,리뷰통계,리뷰 수 객체 조회,상품별 리뷰 수를 객체 형태로 조회,낮음,구현완료,GET /api/product/count/review,Review,
13,리뷰관리,리뷰상호작용,리뷰 좋아요,리뷰에 좋아요 추가/취소,중간,구현완료,GET /api/review/like/:id,"Review, Like",토글 방식
14,리뷰관리,리뷰포인트,리뷰 포인트 조회,리뷰 작성 가능 건수 및 적립 포인트 조회,중간,구현완료,GET /api/review/point,"Order, Review, Setting",포토리뷰 포인트 계산
15,리뷰관리,네이버페이,네이버페이 리뷰 조회,네이버페이 주문 리뷰 조회,중간,구현완료,GET /api/nReviews,"Review, Order",order_place_id 필터링
16,리뷰관리,리뷰필터링,텍스트 필터링,리뷰 내용 중 욕설/개인정보 필터링,높음,구현완료,N/A,Setting,text_filter 설정 기반
17,리뷰관리,리뷰필터링,노출 규칙 적용,리뷰 노출 시 이름/날짜/옵션 마스킹,높음,구현완료,N/A,Setting,review_view_rule 설정 기반
18,주문관리,주문조회,주문 정보 조회,특정 주문의 상세 정보 조회,높음,구현완료,GET /api/orderInfo/:order_id,Order,Cafe24 API 연동
19,주문관리,주문동기화,주문 배치 처리,미배송 주문 일괄 업데이트,높음,구현완료,GET /api/orderBatch,Order,최근 8일 주문 대상
20,주문관리,주문동기화,주문 생성,Cafe24에서 주문 데이터 생성,높음,구현완료,N/A,Order,create_order 함수
21,주문관리,주문동기화,주문 업데이트,Cafe24에서 주문 데이터 업데이트,높음,구현완료,N/A,Order,update_order 함수
22,주문관리,주문동기화,주문 Upsert,주문 생성 또는 업데이트,높음,구현완료,N/A,Order,upsertOrder 함수
23,멤버십관리,멤버십조회,멤버십 정보 조회,회원의 멤버십 정보 및 통계 조회,높음,구현완료,GET /api/membership/:id,"Membership, Order, Review",최근 6개월 통계 포함
24,멤버십관리,멤버십신청,멤버십 신청,VIP CLUB 멤버십 신청,높음,구현완료,POST /api/membership/request,Membership,조건: 구매액 15만원 이상 + 주문 2건 + 리뷰 2건
25,멤버십관리,등급관리,신청 가능 상태 업데이트,조건 충족 시 신청 가능 상태로 변경,높음,구현완료,N/A,Membership,배치작업 (매일 06:00)
26,멤버십관리,등급관리,등급 업,신청 승인된 회원 VIP 등급으로 변경,높음,구현완료,N/A,Membership,배치작업 + Cafe24 API 연동
27,멤버십관리,등급관리,등급 다운,조건 미달 회원 일반 등급으로 변경,높음,구현완료,N/A,Membership,배치작업 + Cafe24 API 연동
28,멤버십관리,등급관리,멤버십 연장,조건 충족 시 멤버십 1개월 자동 연장,중간,구현완료,N/A,Membership,만료 1개월 전 체크
29,멤버십관리,알림,신청 가능 알림,멤버십 신청 가능 알림톡 발송,중간,구현완료,N/A,Membership,배치작업 (매일 10:00)
30,멤버십관리,알림,등업 완료 알림,멤버십 등업 완료 알림톡 발송,중간,구현완료,N/A,Membership,배치작업 (매일 11:00)
31,멤버십관리,알림,강등 예정 알림,멤버십 강등 예정 알림톡 발송,중간,구현완료,N/A,Membership,배치작업 (매일 10:30)
32,파일관리,파일업로드,이미지 업로드,이미지 파일 S3 업로드,높음,구현완료,POST /backend/upload,"File, NomalFile",JPEG/JPG/PNG 지원
33,파일관리,파일업로드,비디오 업로드,비디오 파일 S3 업로드,중간,구현완료,POST /backend/upload/video,StreamingFile,MP4 지원
34,파일관리,파일업로드,스트리밍 파일 업로드,대용량 스트리밍 파일 업로드,중간,구현완료,POST /backend/upload/streaming,StreamingFile,최대 2GB
35,파일관리,파일관리,인플루언서 콘텐츠 파일,인플루언서 콘텐츠용 파일 관리,중간,구현완료,N/A,InfluencerContent,S3 파일 처리
36,파일관리,파일관리,인플루언서 정보 파일,인플루언서 프로필 파일 관리,중간,구현완료,N/A,InfluencerInfo,S3 파일 처리
37,파일관리,파일관리,리뷰 파일,리뷰 첨부 파일 관리,높음,구현완료,N/A,Review,S3 파일 처리
38,파일관리,CDN,CloudFront 연동,CDN을 통한 파일 배포,높음,구현완료,N/A,File,d358qlcw9c8y5x.cloudfront.net
39,Cafe24연동,주문동기화,주문 데이터 동기화,Cafe24 주문 데이터 가져오기,높음,구현완료,N/A,Order,배치작업 (매일 00:30)
40,Cafe24연동,주문동기화,취소 데이터 동기화,Cafe24 취소 데이터 가져오기,높음,구현완료,N/A,Order,배치작업 (매일 01:00)
41,Cafe24연동,주문동기화,배송 상태 업데이트,배송 상태 실시간 업데이트,높음,구현완료,N/A,Order,배치작업 (매일 01:30)
42,Cafe24연동,상품동기화,상품 데이터 동기화,Cafe24 상품 데이터 가져오기,높음,구현완료,N/A,Product,배치작업 (매일 02:15)
43,Cafe24연동,상품동기화,카테고리 데이터 동기화,Cafe24 카테고리 데이터 가져오기,중간,구현완료,N/A,Category,배치작업 (매일 02:00)
44,Cafe24연동,회원관리,회원 등급 변경,Cafe24 회원 등급 변경 API 호출,높음,구현완료,N/A,Membership,최대 200명씩 처리
45,Cafe24연동,회원관리,포인트 적립,Cafe24 포인트 적립 API 호출,중간,구현완료,N/A,Order,리뷰 작성 시 포인트 지급
46,Cafe24연동,회원관리,개인정보 조회,Cafe24 회원 개인정보 조회,중간,구현완료,N/A,Membership,전화번호/가입일 조회
47,배치작업,통계,푸시 통계 초기화,일일 푸시 통계 데이터 초기화,중간,구현완료,N/A,"Push, PushAlert",배치작업 (매일 00:00)
48,배치작업,데이터동기화,주문 배치,주문 데이터 일괄 동기화,높음,구현완료,N/A,Order,배치작업 (매일 00:30)
49,배치작업,데이터동기화,취소 배치,취소 데이터 일괄 동기화,높음,구현완료,N/A,Order,배치작업 (매일 01:00)
50,배치작업,데이터동기화,배송 배치,배송 상태 일괄 업데이트,높음,구현완료,N/A,Order,배치작업 (매일 01:30)
51,배치작업,데이터동기화,카테고리 배치,카테고리 데이터 일괄 동기화,중간,구현완료,N/A,Category,배치작업 (매일 02:00)
52,배치작업,데이터동기화,상품 배치,상품 데이터 일괄 동기화,높음,구현완료,N/A,Product,배치작업 (매일 02:15)
53,배치작업,멤버십,멤버십 등급 배치,멤버십 등급 자동 관리,높음,구현완료,N/A,Membership,배치작업 (매일 06:00)
54,배치작업,알림,리뷰 작성 알림,배송완료 후 리뷰 작성 요청 알림,중간,구현완료,N/A,Order,배치작업 (매일 09:30)
55,배치작업,알림,멤버십 신청 알림,멤버십 신청 가능 알림 발송,중간,구현완료,N/A,Membership,배치작업 (매일 10:00)
56,배치작업,알림,멤버십 강등 알림,멤버십 강등 예정 알림 발송,중간,구현완료,N/A,Membership,배치작업 (매일 10:30)
57,배치작업,알림,멤버십 등업 알림,멤버십 등업 완료 알림 발송,중간,구현완료,N/A,Membership,배치작업 (매일 11:00)
58,알림톡,리뷰알림,리뷰 작성 요청,배송완료 후 일정 기간 경과 시 알림,중간,구현완료,N/A,Order,배송 후 7일~37일 사이
59,알림톡,멤버십알림,신청 가능 안내,멤버십 신청 조건 충족 안내,중간,구현완료,N/A,Membership,조건 충족 시 발송
60,알림톡,멤버십알림,등업 완료 안내,VIP 등업 완료 축하 메시지,중간,구현완료,N/A,Membership,등업 당일 발송
61,알림톡,멤버십알림,강등 예정 안내,멤버십 만료 및 강등 예정 안내,중간,구현완료,N/A,Membership,만료 1개월 전 발송
62,인플루언서,인플루언서관리,인플루언서 정보 관리,인플루언서 기본 정보 CRUD,중간,구현완료,N/A,Influencer,
63,인플루언서,인플루언서관리,인플루언서 상세 정보,인플루언서 상세 정보 관리,중간,구현완료,N/A,InfluencerInfo,
64,인플루언서,콘텐츠관리,인플루언서 콘텐츠,인플루언서 콘텐츠 CRUD,중간,구현완료,N/A,InfluencerContent,
65,인플루언서,콘텐츠관리,스트리밍 파일 관리,스트리밍용 비디오 파일 관리,중간,구현완료,N/A,StreamingFile,
66,상품관리,상품조회,상품 정보 조회,상품 상세 정보 조회,높음,구현완료,N/A,Product,Cafe24 동기화
67,상품관리,상품조회,상품 목록 조회,상품 목록 페이지네이션 조회,높음,구현완료,N/A,Product,
68,상품관리,카테고리,카테고리 조회,카테고리 정보 조회,중간,구현완료,N/A,Category,Cafe24 동기화
69,상품관리,카테고리,카테고리 트리,카테고리 계층 구조 조회,중간,구현완료,N/A,Category,
70,설정관리,시스템설정,리뷰 설정 조회,리뷰 관련 설정 조회,중간,구현완료,N/A,Setting,최신 설정 조회
71,설정관리,시스템설정,텍스트 필터 설정,욕설/개인정보 필터 단어 관리,중간,구현완료,N/A,Setting,
72,설정관리,시스템설정,리뷰 노출 규칙,리뷰 노출 시 마스킹 규칙 설정,중간,구현완료,N/A,Setting,
73,설정관리,시스템설정,리뷰 포인트 설정,리뷰 작성 시 지급 포인트 설정,중간,구현완료,N/A,Setting,review_auto_point
74,설정관리,시스템설정,푸시 발송 기간 설정,리뷰 요청 푸시 발송 기간 설정,낮음,구현완료,N/A,Setting,push_exp
75,백엔드관리,관리자API,관리자 전용 API,백엔드 관리 기능,중간,구현완료,/backend/*,N/A,관리자 인증 필요
76,백엔드관리,엑셀,엑셀 다운로드,데이터 엑셀 파일 다운로드,중간,구현완료,/excel/*,N/A,exceljs 사용
77,백엔드관리,웹훅,Cafe24 웹훅,Cafe24 이벤트 수신,높음,구현완료,/hook/*,N/A,HOOKKEY 검증
78,백엔드관리,콜백,외부 콜백 처리,외부 서비스 콜백 처리,중간,구현완료,/callback/*,N/A,
79,로깅,시스템로그,Winston 로깅,애플리케이션 로그 기록,높음,구현완료,N/A,N/A,info/error/debug 레벨
80,로깅,시스템로그,로그 로테이션,일별 로그 파일 분리,중간,구임완료,N/A,N/A,winston-daily-rotate-file
81,보안,인증,세션 관리,사용자 세션 관리,높음,구현완료,N/A,N/A,express-session
82,보안,파일검증,파일 확장자 검증,업로드 파일 확장자 검증,높음,구현완료,N/A,N/A,이미지: jpg/jpeg/png만 허용
83,보안,데이터보호,암호화,민감 데이터 암호화,중간,구현완료,N/A,N/A,crypto-js 사용
84,API버전관리,API v1,API v1 엔드포인트,버전 1 API,낮음,구현완료,/api/v1/*,N/A,레거시
85,API버전관리,API v2,API v2 엔드포인트,버전 2 API (메인),높음,구현완료,/api/v2/*,N/A,현재 메인 버전
86,API버전관리,API v3,API v3 엔드포인트,버전 3 API,중간,구현완료,/api/v3/*,N/A,최신 버전
87,API버전관리,Admin API,관리자 API,관리자 전용 API,중간,구현완료,/api/admin/*,N/A,
88,모니터링,푸시통계,푸시 조회수,푸시 알림 조회 통계,낮음,구현완료,N/A,Push,
89,모니터링,푸시통계,푸시 클릭수,푸시 알림 클릭 통계,낮음,구현완료,N/A,Push,
90,모니터링,푸시통계,푸시 작성수,푸시를 통한 리뷰 작성 통계,낮음,구현완료,N/A,Push,
91,모니터링,알림통계,알림톡 발송수,알림톡 발송 통계,낮음,구현완료,N/A,PushAlert,
92,모니터링,알림통계,알림톡 조회수,알림톡 조회 통계,낮음,구현완료,N/A,PushAlert,
93,모니터링,알림통계,알림톡 클릭수,알림톡 클릭 통계,낮음,구현완료,N/A,PushAlert,
94,모니터링,로그,푸시 로그,푸시 발송 로그 기록,낮음,구현완료,N/A,PushLog,
95,모니터링,로그,알림톡 로그,알림톡 발송 로그 기록,낮음,구현완료,N/A,PushAlertLog,
96,기타,문의관리,문의 관리,고객 문의 CRUD,낮음,구현완료,N/A,Inquiry,
97,기타,좋아요,좋아요 관리,리뷰 좋아요 관리,중간,구현완료,N/A,Like,
98,기타,알림,알림 관리,시스템 알림 관리,낮음,구현완료,N/A,Alert,
99,기타,쇼핑몰,쇼핑몰 정보,쇼핑몰 기본 정보 관리,낮음,구현완료,N/A,Mall,
100,기타,파일,일반 파일 관리,일반 파일 메타데이터 관리,중간,구현완료,N/A,NomalFile,S3 파일 정보
