카테고리,기능ID,기능명,상세설명,우선순위,구현상태,관련파일,비고
노드관리,NM-001,노드 시작,블록체인 노드를 시작하고 모든 서비스를 활성화,높음,구현완료,src/Saseul/Script/Start.php,Master/DataPool/ChainMaker 등 서비스 시작
노드관리,NM-002,노드 중지,실행 중인 노드를 안전하게 종료,높음,구현완료,src/Saseul/Script/Stop.php,모든 서비스 graceful shutdown
노드관리,NM-003,노드 재시작,노드를 중지하고 다시 시작,중간,구현완료,src/Saseul/Script/Restart.php,설정 변경 후 재시작 시 사용
노드관리,NM-004,노드 강제종료,응답하지 않는 노드를 강제로 종료,중간,구현완료,src/Saseul/Script/Kill.php,비상시 사용
노드관리,NM-005,노드 정보 조회,노드의 현재 상태와 정보를 조회,중간,구현완료,src/Saseul/Script/Info.php,버전/주소/상태 등 출력
노드관리,NM-006,로그 확인,실시간 노드 로그를 확인,높음,구현완료,src/Saseul/Script/Log.php,saseul.log 실시간 모니터링
환경설정,ENV-001,환경 초기화,노드 환경을 초기 설정,높음,구현완료,src/Saseul/Script/SetEnv.php,최초 설치 시 필수
환경설정,ENV-002,환경 조회,현재 환경 설정을 조회,중간,구현완료,src/Saseul/Script/GetEnv.php,설정 확인용
환경설정,ENV-003,엔드포인트 설정,노드의 네트워크 엔드포인트 설정,중간,구현완료,src/Saseul/Script/SetEndpoint.php,IP/포트 설정
환경설정,ENV-004,설정 파일 관리,saseul.ini 파일 기반 설정 관리,높음,구현완료,saseul.ini,노드타입/네트워크/DB 설정
환경설정,ENV-005,레저 타입 설정,Full/Partial 레저 타입 선택,높음,구현완료,src/Saseul/Config.php,저장 공간 관리 전략
블록체인초기화,BC-001,제네시스 블록 생성,최초 블록체인 생성,높음,구현완료,src/Saseul/Script/Genesis.php,네트워크 시작 시 1회 실행
블록체인초기화,BC-002,제네시스 리소스 생성,제네시스 리소스 블록 생성,높음,구현완료,src/Saseul/Script/GenesisResource.php,리소스 체인 초기화
블록체인초기화,BC-003,데이터 리셋,블록체인 데이터 초기화,낮음,구현완료,src/Saseul/Script/Reset.php,개발/테스트 환경용
블록체인초기화,BC-004,데이터베이스 리셋,MySQL 데이터베이스 초기화,낮음,구현완료,src/Saseul/Script/ResetDB.php,DB 사용 시
블록체인초기화,BC-005,트래커 리셋,피어 트래커 정보 초기화,낮음,구현완료,src/Saseul/Script/ResetTracker.php,네트워크 재설정 시
API엔드포인트,API-001,블록 조회 API,블록 정보를 조회하는 REST API,높음,구현완료,src/Saseul/Api/Block.php,블록 높이/해시로 조회
API엔드포인트,API-002,트랜잭션 조회 API,트랜잭션 정보를 조회하는 API,높음,구현완료,src/Saseul/Api/Transaction.php,트랜잭션 해시로 조회
API엔드포인트,API-003,트랜잭션 전송 API,새로운 트랜잭션을 전송,높음,구현완료,src/Saseul/Api/SendTransaction.php,서명된 트랜잭션 제출
API엔드포인트,API-004,Raw 트랜잭션 전송 API,Raw 형식 트랜잭션 전송,중간,구현완료,src/Saseul/Api/SendRawTransaction.php,직렬화된 트랜잭션
API엔드포인트,API-005,상태 조회 API,블록체인 상태를 조회,높음,구현완료,src/Saseul/Api/Status.php,계정 잔액/상태 조회
API엔드포인트,API-006,피어 조회 API,연결된 피어 목록 조회,중간,구현완료,src/Saseul/Api/Peer.php,네트워크 토폴로지 확인
API엔드포인트,API-007,노드 정보 API,노드 기본 정보 제공,중간,구현완료,src/Saseul/Api/Info.php,버전/체인정보 등
API엔드포인트,API-008,핑 API,노드 생존 확인,높음,구현완료,src/Saseul/Api/Ping.php,헬스체크용
API엔드포인트,API-009,브로드캐스트 API,네트워크 전체에 메시지 전파,중간,구현완료,src/Saseul/Api/Broadcast.php,블록/트랜잭션 전파
API엔드포인트,API-010,라운드 정보 API,합의 라운드 정보 조회,중간,구현완료,src/Saseul/Api/Round.php,합의 진행 상황
API엔드포인트,API-011,가중치 조회 API,노드 가중치 정보 조회,낮음,구현완료,src/Saseul/Api/Weight.php,검증자 선출 관련
API엔드포인트,API-012,요청 처리 API,일반 요청 처리,중간,구현완료,src/Saseul/Api/Request.php,범용 요청 핸들러
API엔드포인트,API-013,Raw 요청 API,Raw 형식 요청 처리,중간,구현완료,src/Saseul/Api/RawRequest.php,저수준 요청
API엔드포인트,API-014,메인 API,메인 엔드포인트,중간,구현완료,src/Saseul/Api/Main.php,기본 API 진입점
백그라운드서비스,SVC-001,체인메이커 서비스,블록 생성 및 체인 관리,높음,구현완료,src/Saseul/Service/ChainMaker.php,합의 프로토콜 실행
백그라운드서비스,SVC-002,데이터풀 서비스,트랜잭션 풀 관리,높음,구현완료,src/Saseul/Service/DataPool.php,메모리풀 운영 (포트 9934)
백그라운드서비스,SVC-003,마스터 서비스,마스터 노드 조정 서비스,높음,구현완료,src/Saseul/Service/Master.php,서비스 조정 (포트 9933)
백그라운드서비스,SVC-004,피어서처 서비스,피어 검색 및 발견,중간,구현완료,src/Saseul/Service/PeerSearcher.php,네트워크 토폴로지 관리
백그라운드서비스,SVC-005,컬렉터 서비스,네트워크 데이터 수집,중간,구현완료,src/Saseul/Service/Collector.php,피어 정보 수집
백그라운드서비스,SVC-006,리소스마이너 서비스,리소스 마이닝 실행,중간,구현완료,src/Saseul/Service/ResourceMiner.php,검증자 자격 획득
마이닝,MIN-001,마이닝 시작,리소스 마이닝 시작,중간,구현완료,src/Saseul/Script/StartMining.php,GPU 마이닝 활성화
마이닝,MIN-002,마이닝 중지,리소스 마이닝 중지,중간,구현완료,src/Saseul/Script/StopMining.php,마이닝 비활성화
마이닝,MIN-003,GPU 마이닝 프로그램,CUDA 기반 GPU 마이닝,중간,구현완료,mine.cu,SHA-256 해시 연산
마이닝,MIN-004,마이닝 빌드,마이닝 프로그램 컴파일,중간,구현완료,build.sh,nvcc 컴파일러 사용
마이닝,MIN-005,난이도 조정,1440블록마다 난이도 자동 조정,중간,구현완료,src/Saseul/Config.php,DIFFICULTY_CHANGE_CYCLE
네트워크,NET-001,피어 검색,네트워크에서 피어 발견,높음,구현완료,src/Saseul/Service/PeerSearcher.php,자동 피어 발견
네트워크,NET-002,피어 연결,피어와 TCP/UDP 연결,높음,구현완료,src/IPC/TCPClient.php,P2P 네트워크 구성
네트워크,NET-003,트래커 추가,피어 트래커 수동 추가,낮음,구현완료,src/Saseul/Script/AddTracker.php,시드 노드 추가
네트워크,NET-004,강제 동기화,블록체인 강제 동기화,중간,구현완료,src/Saseul/Script/ForceSync.php,동기화 문제 해결
네트워크,NET-005,브로드캐스트,네트워크 전체 메시지 전파,높음,구현완료,src/Saseul/Api/Broadcast.php,블록/트랜잭션 전파
네트워크,NET-006,IPC 통신,프로세스 간 통신,높음,구현완료,src/IPC/,TCP/UDP 소켓 통신
데이터관리,DATA-001,블록 저장,블록을 파일 시스템에 저장,높음,구현완료,src/Saseul/Data/Chain.php,메인/리소스 체인
데이터관리,DATA-002,트랜잭션 번들링,트랜잭션을 번들로 묶기,높음,구현완료,src/Saseul/Data/Bunch.php,효율적 저장
데이터관리,DATA-003,상태 관리,블록체인 상태 관리,높음,구현완료,src/Saseul/Data/Status.php,계정 잔액/상태
데이터관리,DATA-004,데이터 정리,불필요한 데이터 정리,중간,구현완료,src/Saseul/Script/Refine.php,디스크 공간 확보
데이터관리,DATA-005,번들링 재실행,트랜잭션 번들링 재실행,낮음,구현완료,src/Saseul/Script/Rebundling.php,데이터 복구 시
데이터관리,DATA-006,블록 복원,손상된 블록 복원,낮음,구현완료,src/Saseul/Script/RestoreBlock.php,데이터 복구
데이터관리,DATA-007,블록 되돌리기,특정 블록으로 되돌리기,낮음,구현완료,src/Saseul/Script/RewindBlock.php,포크 해결
데이터관리,DATA-008,Partial Ledger,부분 원장 관리,높음,구현완료,src/Saseul/Config.php,저장 공간 절약
데이터관리,DATA-009,Full Ledger,전체 원장 관리,중간,구현완료,src/Saseul/Config.php,아카이브 노드
합의메커니즘,CON-001,검증자 선출,리소스 기반 검증자 선출,높음,구현완료,src/Saseul/Service/ChainMaker.php,9명 검증자
합의메커니즘,CON-002,합의 프로토콜,60% 합의율 기반 합의,높음,구현완료,src/Saseul/Service/ChainMaker.php,MAIN_CONSENSUS_PER
합의메커니즘,CON-003,블록 생성,1초마다 메인 블록 생성,높음,구현완료,src/Saseul/Service/ChainMaker.php,MAIN_CHAIN_INTERVAL
합의메커니즘,CON-004,리소스 블록,60초마다 리소스 블록 생성,중간,구현완료,src/Saseul/Service/ResourceMiner.php,RESOURCE_INTERVAL
합의메커니즘,CON-005,블록 검증,블록 유효성 검증,높음,구현완료,src/Saseul/Service/ChainMaker.php,서명/해시 검증
합의메커니즘,CON-006,포크 해결,체인 포크 감지 및 해결,중간,구현완료,src/Saseul/Service/ChainMaker.php,최장 체인 선택
트랜잭션,TX-001,트랜잭션 생성,새로운 트랜잭션 생성,높음,구현완료,src/Saseul/Script/SendTransaction.php,서명 포함
트랜잭션,TX-002,트랜잭션 검증,트랜잭션 유효성 검증,높음,구현완료,src/Saseul/Service/DataPool.php,서명/잔액 검증
트랜잭션,TX-003,트랜잭션 풀,메모리 풀에 트랜잭션 저장,높음,구현완료,src/Saseul/Service/DataPool.php,대기 큐 관리
트랜잭션,TX-004,트랜잭션 실행,블록에 포함된 트랜잭션 실행,높음,구현완료,src/Saseul/VM/,가상머신 실행
트랜잭션,TX-005,트랜잭션 조회,트랜잭션 정보 조회,중간,구현완료,src/Saseul/Api/Transaction.php,해시로 조회
트랜잭션,TX-006,영수증 생성,트랜잭션 실행 영수증 생성,중간,구현완료,src/Saseul/Service/ChainMaker.php,실행 결과 기록
보안,SEC-001,서명 검증,디지털 서명 검증,높음,구현완료,src/Util/Signer.php,Ed25519 서명
보안,SEC-002,해시 생성,SHA-256 해시 생성,높음,구현완료,src/Util/Hasher.php,블록/트랜잭션 해시
보안,SEC-003,주소 생성,공개키에서 주소 생성,높음,구현완료,src/Util/Signer.php,22바이트 주소
보안,SEC-004,암호화,Sodium 라이브러리 암호화,중간,구현완료,PHP sodium 확장,데이터 암호화
보안,SEC-005,권한 관리,제네시스/매니저 주소 권한,중간,구현완료,src/Saseul/Config.php,관리자 권한
데이터베이스,DB-001,MySQL 연동,선택적 MySQL 데이터베이스 연동,낮음,구현완료,src/Saseul/Config.php,인덱싱 성능 향상
데이터베이스,DB-002,파일 기반 저장,기본 파일 시스템 저장,높음,구현완료,src/Saseul/Data/,JSON 파일 저장
데이터베이스,DB-003,데이터 인덱싱,빠른 조회를 위한 인덱싱,중간,구현완료,src/Saseul/DataSource/,BunchIndex 등
스마트컨트랙트,SC-001,컨트랙트 실행,스마트 컨트랙트 실행,중간,구현완료,src/Saseul/VM/,가상머신
스마트컨트랙트,SC-002,컨트랙트 저장,컨트랙트 코드 저장,중간,구현완료,src/Saseul/Model/,컨트랙트 모델
스마트컨트랙트,SC-003,요청 처리,컨트랙트 요청 처리,중간,구현완료,src/Saseul/Api/Request.php,RPC 호출
모니터링,MON-001,로그 시스템,시스템 로그 기록,높음,구현완료,src/Core/Logger.php,saseul.log/debug.log
모니터링,MON-002,실시간 로그,실시간 로그 모니터링,중간,구현완료,src/Saseul/Script/Log.php,tail -f 기능
모니터링,MON-003,노드 상태,노드 상태 모니터링,중간,구현완료,src/Saseul/Api/Status.php,헬스체크
모니터링,MON-004,성능 모니터링,블록 생성/트랜잭션 처리 성능,낮음,부분구현,src/Core/Logger.php,메트릭 수집 필요
유틸리티,UTIL-001,프로세스 관리,멀티 프로세스 관리,높음,구현완료,src/Core/Process.php,POSIX/PCNTL
유틸리티,UTIL-002,클래스 로더,자동 클래스 로딩,높음,구현완료,src/Core/Loader.php,loader.json 기반
유틸리티,UTIL-003,스크립트 실행기,CLI 스크립트 실행,높음,구현완료,src/Core/Script.php,saseul-script
유틸리티,UTIL-004,서비스 관리,백그라운드 서비스 관리,높음,구현완료,src/Core/Service.php,데몬 프로세스
유틸리티,UTIL-005,결과 처리,API 응답 포맷팅,중간,구현완료,src/Core/Result.php,JSON 응답
하드포크,FORK-001,하드포크 관리,블록체인 하드포크 처리,낮음,구현완료,src/Patch/HardFork.php,프로토콜 업그레이드
테스트,TEST-001,단위 테스트,컴포넌트 단위 테스트,낮음,부분구현,src/Test/,테스트 프레임워크
테스트,TEST-002,통합 테스트,시스템 통합 테스트,낮음,부분구현,src/Test/,E2E 테스트
성능최적화,PERF-001,블록 크기 제한,16MB 블록 크기 제한,높음,구현완료,src/Saseul/Config.php,BLOCK_TX_SIZE_LIMIT
성능최적화,PERF-002,트랜잭션 제한,블록당 2048개 트랜잭션 제한,높음,구현완료,src/Saseul/Config.php,BLOCK_TX_COUNT_LIMIT
성능최적화,PERF-003,메모리 제한,128MB PHP 메모리 제한,중간,구현완료,src/index.php,memory_limit
성능최적화,PERF-004,타임아웃 관리,라운드/데이터 타임아웃 설정,중간,구현완료,src/Saseul/Config.php,ROUND_TIMEOUT
확장성,SCALE-001,Partial Ledger,부분 원장으로 확장성 향상,높음,구현완료,src/Saseul/Config.php,저장 공간 절약
확장성,SCALE-002,Chain Slot,체인 슬롯 메커니즘,낮음,개발중,v2.2.x 로드맵,향후 구현
확장성,SCALE-003,Data Pruning,오래된 데이터 자동 삭제,중간,개발중,v2.2.x 로드맵,향후 구현
확장성,SCALE-004,Peer Status Collection,피어 상태 수집 최적화,낮음,개발중,v2.2.x 로드맵,향후 구현
