구분,기능명,우선순위,상태,설명,구현 난이도,예상 소요시간,의존성,비고
기본 토큰 기능,토큰 이름 설정,높음,완료,BusinessCoin으로 토큰 이름 설정,쉬움,1시간,없음,생성자에서 설정
기본 토큰 기능,토큰 심볼 설정,높음,완료,BSC로 토큰 심볼 설정,쉬움,1시간,없음,생성자에서 설정
기본 토큰 기능,토큰 소수점 설정,높음,완료,18자리 소수점 설정,쉬움,1시간,없음,ERC20 표준
기본 토큰 기능,최대 공급량 제한,높음,완료,1억 개로 최대 공급량 제한,쉬움,2시간,없음,MAX_SUPPLY 상수
기본 토큰 기능,초기 발행량 설정,높음,완료,최대 공급량의 30% 초기 발행,쉬움,1시간,없음,생성자에서 설정
기본 토큰 기능,토큰 잔액 조회,높음,완료,balanceOf 함수로 잔액 조회,쉬움,1시간,없음,ERC20 표준
기본 토큰 기능,토큰 전송,높음,완료,transfer 함수로 토큰 전송,쉬움,2시간,없음,ERC20 표준
기본 토큰 기능,토큰 승인,높음,완료,approve 함수로 토큰 승인,쉬움,2시간,없음,ERC20 표준
기본 토큰 기능,승인 토큰 전송,높음,완료,transferFrom 함수로 승인된 토큰 전송,쉬움,2시간,없음,ERC20 표준
기본 토큰 기능,총 공급량 조회,높음,완료,totalSupply 함수로 총 공급량 조회,쉬움,1시간,없음,ERC20 표준
소유자 기능,소유자 권한 관리,높음,완료,Ownable을 통한 소유자 권한 관리,쉬움,1시간,OpenZeppelin,상속
소유자 기능,토큰 추가 발행,높음,완료,소유자만 추가 토큰 발행 가능,중간,3시간,소유자 권한,onlyOwner 제한
소유자 기능,최대 공급량 검증,높음,완료,발행 시 최대 공급량 초과 방지,중간,2시간,없음,require 문으로 검증
토큰 소각,토큰 소각 기능,중간,완료,ERC20Burnable을 통한 토큰 소각,쉬움,1시간,OpenZeppelin,상속
토큰 소각,소각 후 공급량 감소,중간,완료,소각 시 총 공급량 자동 감소,쉬움,1시간,없음,ERC20Burnable 자동 처리
테스트,기본 정보 테스트,높음,완료,토큰 이름/심볼/초기 공급량 테스트,쉬움,2시간,Chai,테스트 파일
테스트,전송 기능 테스트,높음,완료,토큰 전송 성공/실패 케이스 테스트,중간,3시간,Chai,테스트 파일
테스트,발행 기능 테스트,높음,완료,토큰 발행 권한/제한 테스트,중간,3시간,Chai,테스트 파일
테스트,소각 기능 테스트,중간,완료,토큰 소각 기능 테스트,쉬움,2시간,Chai,테스트 파일
배포,로컬 배포,높음,완료,Hardhat 로컬 네트워크 배포,쉬움,1시간,Hardhat,deploy.js
배포,테스트넷 배포,높음,완료,Sepolia 테스트넷 배포,중간,2시간,Hardhat,환경 변수 필요
배포,배포 정보 출력,중간,완료,배포자 주소/잔액/컨트랙트 주소 출력,쉬움,1시간,없음,deploy.js
상호작용,컨트랙트 정보 조회,중간,완료,토큰 기본 정보 조회 기능,쉬움,2시간,없음,interact.js
상호작용,토큰 전송 데모,중간,완료,토큰 전송 기능 데모,쉬움,2시간,없음,interact.js
상호작용,토큰 발행 데모,중간,완료,토큰 발행 기능 데모,쉬움,2시간,없음,interact.js
상호작용,잔액 조회 데모,중간,완료,실시간 잔액 조회 데모,쉬움,1시간,없음,interact.js
보안 강화,긴급 정지 기능,높음,미구현,Pausable을 통한 긴급 상황 시 컨트랙트 정지,중간,4시간,OpenZeppelin,새로운 기능
보안 강화,역할 기반 접근 제어,높음,미구현,AccessControl을 통한 세분화된 권한 관리,어려움,8시간,OpenZeppelin,새로운 기능
보안 강화,업그레이드 가능 컨트랙트,중간,미구현,프록시 패턴을 통한 컨트랙트 업그레이드,어려움,12시간,OpenZeppelin,새로운 기능
보안 강화,멀티시그 지원,중간,미구현,다중 서명을 통한 중요 작업 승인,어려움,10시간,OpenZeppelin,새로운 기능
토큰 락업,시간 기반 락업,중간,미구현,특정 기간 동안 토큰 락업,어려움,8시간,없음,새로운 기능
토큰 락업,벤처 락업,중간,미구현,벤처캐피털용 장기 락업,어려움,10시간,없음,새로운 기능
토큰 락업,팀 락업,중간,미구현,팀 멤버용 단계적 락업 해제,어려움,12시간,없음,새로운 기능
스테이킹,토큰 스테이킹,중간,미구현,토큰을 스테이킹하여 보상 받기,어려움,15시간,없음,새로운 기능
스테이킹,스테이킹 보상,중간,미구현,스테이킹 기간에 따른 보상 계산,어려움,12시간,스테이킹 기능,새로운 기능
스테이킹,스테이킹 해제,중간,미구현,스테이킹된 토큰 해제,중간,6시간,스테이킹 기능,새로운 기능
거버넌스,투표 기능,중간,미구현,토큰 홀더의 거버넌스 투표,어려움,20시간,없음,새로운 기능
거버넌스,제안 생성,중간,미구현,거버넌스 제안 생성 및 관리,어려움,15시간,투표 기능,새로운 기능
거버넌스,제안 실행,중간,미구현,승인된 제안의 자동 실행,어려움,18시간,투표 기능,새로운 기능
바운티 프로그램,바운티 등록,낮음,미구현,개발자용 바운티 프로그램,어려움,12시간,없음,새로운 기능
바운티 프로그램,바운티 지급,낮음,미구현,완료된 바운티에 대한 보상 지급,어려움,10시간,바운티 등록,새로운 기능
토큰 스왑,토큰 교환,낮음,미구현,다른 토큰과의 교환 기능,어려움,25시간,없음,새로운 기능
토큰 스왑,유동성 풀,낮음,미구현,AMM을 통한 유동성 풀 제공,어려움,30시간,토큰 교환,새로운 기능
이벤트 로깅,상세 이벤트,중간,미구현,모든 토큰 작업에 대한 상세 이벤트 로깅,중간,6시간,없음,새로운 기능
이벤트 로깅,이벤트 인덱싱,중간,미구현,이벤트 검색을 위한 인덱싱,중간,4시간,상세 이벤트,새로운 기능
메타데이터,토큰 메타데이터,중간,미구현,토큰의 메타데이터 URI 제공,중간,4시간,없음,새로운 기능
메타데이터,이미지 메타데이터,낮음,미구현,토큰 이미지 및 설명 메타데이터,쉬움,3시간,토큰 메타데이터,새로운 기능
배치 작업,배치 전송,중간,미구현,여러 주소로 동시 토큰 전송,중간,6시간,없음,새로운 기능
배치 작업,배치 승인,중간,미구현,여러 주소에 대한 동시 승인,중간,6시간,없음,새로운 기능
가스 최적화,가스 효율성,중간,미구현,트랜잭션 가스 비용 최적화,어려움,8시간,없음,새로운 기능
가스 최적화,배치 최적화,중간,미구현,배치 작업의 가스 효율성,어려움,10시간,배치 작업,새로운 기능
모니터링,실시간 모니터링,낮음,미구현,토큰 거래 및 잔액 실시간 모니터링,어려움,15시간,없음,새로운 기능
모니터링,알림 시스템,낮음,미구현,중요한 토큰 활동에 대한 알림,어려움,12시간,실시간 모니터링,새로운 기능
