ID,기능분류,기능명,상세설명,우선순위,상태,담당페이지,관련컴포넌트,비고
1,핵심기능,문제입력,사용자가 고민이나 나쁜 습관을 텍스트로 입력,높음,완료,메인페이지,textarea,최대 입력 길이 제한 없음
2,핵심기능,카테고리선택,6가지 카테고리 중 하나 선택 (게으름/건강/공부/인간관계/자신감/기타),높음,완료,메인페이지,카테고리버튼,이모지와 함께 표시
3,핵심기능,긴급도설정,즉시해결 또는 장기적개선 중 선택,중간,완료,메인페이지,긴급도버튼,2가지 옵션
4,핵심기능,기가차드조언생성,카테고리별 맞춤형 조언 자동 생성,높음,완료,응답페이지,getGigaChadResponse(),랜덤 응답 선택
5,핵심기능,목표생성,문제 해결을 위한 구체적인 목표 설정,높음,완료,응답페이지,목표생성폼,제목/설명/목표일수 입력
6,핵심기능,일일체크인,매일 목표 달성 여부 체크인 (완료/실패),높음,완료,목표관리페이지,체크인버튼,하루에 한 번만 가능
7,핵심기능,스트릭추적,연속 달성 일수 자동 계산 및 표시,높음,완료,목표관리페이지,checkInGoal(),현재/최고 스트릭 표시
8,핵심기능,진행률시각화,목표 달성률을 프로그레스바로 표시,중간,완료,목표관리페이지,프로그레스바,퍼센트와 일수 표시
9,핵심기능,달성기록표시,최근 14일간의 성취 기록 미니 캘린더,중간,완료,목표관리페이지,달성기록컴포넌트,✓/✗ 아이콘 표시
10,핵심기능,통계대시보드,전체 통계 요약 (문제/목표/달성/스트릭),중간,완료,통계페이지,통계카드,4개 주요 지표
11,핵심기능,카테고리별분석,카테고리별 문제→목표→완료 흐름 분석,중간,완료,통계페이지,getCategoryStats(),완료율 계산
12,핵심기능,최근활동타임라인,최근 10개 활동 기록 표시,낮음,완료,통계페이지,getRecentActivity(),시간순 정렬
13,데이터관리,로컬스토리지저장,브라우저 로컬스토리지에 데이터 영속화,높음,완료,전체,storage.ts,4개 키 사용
14,데이터관리,문제데이터관리,문제 추가/조회 기능,높음,완료,전체,saveProblems/getProblems(),CRUD 중 CR
15,데이터관리,목표데이터관리,목표 추가/조회/수정 기능,높음,완료,전체,saveGoals/getGoals/updateGoal(),CRUD 중 CRU
16,데이터관리,응답데이터관리,기가차드 응답 추가/조회 기능,중간,완료,전체,saveResponses/getResponses(),CRUD 중 CR
17,데이터관리,통계계산,사용자 통계 자동 계산,중간,완료,전체,calculateStats(),실시간 계산
18,데이터관리,고유ID생성,타임스탬프 기반 고유 ID 생성,높음,완료,전체,generateId(),Date.now() + random
19,데이터관리,데이터초기화,모든 로컬스토리지 데이터 삭제,낮음,완료,전체,clearAllData(),관리자 기능
20,응답시스템,조언응답,문제 해결을 위한 강력한 조언 제공,높음,완료,응답페이지,gigaChadResponses.ts,카테고리별 5개씩
21,응답시스템,칭찬응답,목표 달성 시 동기부여 칭찬,높음,완료,목표관리페이지,getGigaChadResponse('praise'),카테고리별 4개씩
22,응답시스템,꾸지람응답,목표 실패 시 자극적 비판,높음,완료,목표관리페이지,getGigaChadResponse('scold'),카테고리별 4개씩
23,응답시스템,목표제안,카테고리별 기본 목표 제안,낮음,완료,응답페이지,generateGoalSuggestion(),6가지 템플릿
24,UI/UX,다크테마,어두운 배경의 다크 모드 디자인,중간,완료,전체,Tailwind CSS,gray-900/800/black
25,UI/UX,그라데이션버튼,노란색-오렌지 그라데이션 주요 버튼,중간,완료,전체,Tailwind gradient,시각적 임팩트
26,UI/UX,반응형디자인,모바일부터 데스크톱까지 대응,높음,완료,전체,Tailwind breakpoints,md: 브레이크포인트
27,UI/UX,이모지활용,카테고리와 상태를 이모지로 표현,낮음,완료,전체,categoryEmojis,직관적 인식
28,UI/UX,호버효과,버튼과 카드에 호버 애니메이션,낮음,완료,전체,hover: classes,사용자 피드백
29,UI/UX,로딩상태,데이터 로딩 중 표시,중간,완료,전체,loading state,사용자 경험 개선
30,이미지관리,캐릭터이미지표시,기가차드 캐릭터 이미지 표시,중간,완료,전체,img 태그,/char/ 폴더
31,이미지관리,이미지변경,클릭으로 캐릭터 이미지 변경,낮음,완료,전체,handleImageClick(),랜덤/순차 선택
32,이미지관리,페이지별이미지,각 페이지마다 다른 테두리 색상,낮음,완료,전체,border-color,노란/초록/파란
33,네비게이션,페이지이동,메인/목표/통계 페이지 간 이동,높음,완료,전체,useRouter(),Next.js router
34,네비게이션,뒤로가기,이전 페이지로 돌아가기,중간,완료,목표/통계,router.push('/'),← 버튼
35,네비게이션,새목표만들기,메인 페이지로 이동하여 새 목표 생성,중간,완료,목표/통계,네비게이션버튼,CTA 버튼
36,목표관리,목표활성화토글,목표 활성화/비활성화 전환,중간,완료,목표관리페이지,toggleGoalActive(),✕ 버튼
37,목표관리,활성목표필터링,활성 목표만 표시,높음,완료,목표관리페이지,filter(isActive),비활성 목표 숨김
38,목표관리,오늘체크인확인,오늘 이미 체크인했는지 확인,높음,완료,목표관리페이지,getTodayAchievement(),중복 방지
39,목표관리,체크인피드백,체크인 후 즉시 피드백 표시,중간,완료,목표관리페이지,alert(),추후 토스트로 개선
40,통계,전체통계요약,4개 주요 지표 카드 표시,중간,완료,통계페이지,통계카드,문제/목표/달성/스트릭
41,통계,활성목표요약,현재 진행 중인 목표 목록,중간,완료,통계페이지,activeGoals,진행률 포함
42,통계,완료율계산,카테고리별 목표 완료율,낮음,완료,통계페이지,categoryStats,백분율 표시
43,통계,활동정렬,최근 활동을 시간순으로 정렬,낮음,완료,통계페이지,sort(),내림차순
44,날짜처리,날짜포맷팅,한국어 날짜 형식으로 표시,낮음,완료,전체,Intl.DateTimeFormat,ko-KR 로케일
45,날짜처리,날짜비교,오늘 날짜와 기록 날짜 비교,높음,완료,목표관리,toDateString(),시간 제거 비교
46,날짜처리,날짜정규화,시간을 00:00:00으로 설정,높음,완료,목표관리,setHours(0,0,0,0),날짜만 비교
47,유효성검사,빈입력방지,문제 텍스트 빈 값 제출 방지,높음,완료,메인페이지,trim() 검사,required 속성
48,유효성검사,제출중상태,중복 제출 방지,중간,완료,메인/목표,isSubmitting/checkingIn,disabled 처리
49,에러처리,에러로깅,콘솔에 에러 로그 출력,낮음,완료,전체,console.error(),디버깅용
50,에러처리,안전한데이터로드,데이터 없을 때 빈 배열 반환,중간,완료,전체,storage.ts,null 체크
51,향후기능,푸시알림,일일 체크인 리마인더 알림,높음,계획,전체,PWA,서비스 워커 필요
52,향후기능,소셜공유,성취 기록 SNS 공유,중간,계획,통계페이지,Web Share API,이미지 생성
53,향후기능,친구챌린지,친구와 함께 목표 도전,중간,계획,신규페이지,멀티플레이어,백엔드 필요
54,향후기능,다양한캐릭터,여러 기가차드 캐릭터 선택,낮음,계획,설정페이지,캐릭터 갤러리,이미지 추가
55,향후기능,커스텀템플릿,사용자 정의 목표 템플릿,중간,계획,목표생성,템플릿 관리,저장 기능
56,향후기능,데이터백업,JSON 파일로 데이터 내보내기,중간,계획,설정페이지,export 기능,다운로드
57,향후기능,데이터복원,JSON 파일에서 데이터 가져오기,중간,계획,설정페이지,import 기능,파일 업로드
58,향후기능,사용자인증,계정 생성 및 로그인,높음,계획,신규페이지,Firebase Auth,백엔드 연동
59,향후기능,클라우드동기화,여러 기기 간 데이터 동기화,높음,계획,전체,Firebase/Supabase,실시간 동기화
60,향후기능,토스트알림,체크인 피드백을 토스트로 표시,중간,계획,전체,react-hot-toast,alert 대체
61,향후기능,모달시스템,목표 상세 정보 모달,낮음,계획,목표관리,모달 컴포넌트,상세 보기
62,향후기능,애니메이션,페이지 전환 및 요소 애니메이션,낮음,계획,전체,Framer Motion,부드러운 UX
63,향후기능,테마전환,다크/라이트 모드 토글,중간,계획,전체,테마 컨텍스트,사용자 선택
64,향후기능,다국어지원,영어/한국어 등 다국어,낮음,계획,전체,i18n,국제화
65,향후기능,테스트코드,단위 테스트 및 통합 테스트,중간,계획,전체,Jest/RTL,코드 품질
66,향후기능,성능최적화,메모이제이션 및 코드 스플리팅,낮음,계획,전체,React.memo,렌더링 최적화
67,향후기능,접근성개선,ARIA 레이블 및 키보드 네비게이션,중간,계획,전체,WCAG 준수,장애인 접근성
68,향후기능,목표수정,기존 목표 편집 기능,중간,계획,목표관리,수정 모달,CRUD의 U
69,향후기능,목표삭제,목표 완전 삭제 기능,낮음,계획,목표관리,삭제 확인,CRUD의 D
70,향후기능,문제수정,기존 문제 편집 기능,낮음,계획,메인페이지,수정 모달,CRUD의 U
71,향후기능,문제삭제,문제 완전 삭제 기능,낮음,계획,메인페이지,삭제 확인,CRUD의 D
72,향후기능,검색기능,문제/목표 검색,중간,계획,전체,검색바,필터링
73,향후기능,정렬기능,날짜/카테고리별 정렬,낮음,계획,목표/통계,정렬 드롭다운,사용자 선택
74,향후기능,필터기능,카테고리/상태별 필터,중간,계획,목표/통계,필터 버튼,다중 선택
75,향후기능,목표복사,기존 목표를 복사하여 새 목표 생성,낮음,계획,목표관리,복사 버튼,빠른 생성
76,향후기능,배지시스템,달성 기록에 따른 배지 획득,낮음,계획,통계페이지,배지 컬렉션,게이미피케이션
77,향후기능,레벨시스템,경험치 및 레벨업 시스템,낮음,계획,전체,XP 계산,동기부여
78,향후기능,주간리포트,주간 성과 리포트 생성,중간,계획,통계페이지,리포트 생성,이메일 발송
79,향후기능,월간리포트,월간 성과 리포트 생성,중간,계획,통계페이지,리포트 생성,PDF 다운로드
80,향후기능,목표카테고리추가,사용자 정의 카테고리 추가,낮음,계획,설정페이지,카테고리 관리,확장성
